emitter,settlement,mean_field_dbuv_m,rank
р.Струмица,Габрово,61.099999999999994,top5_high
р.Струмица,Самоилово,57.75,top5_high
р.Струмица,Банско,61.1,top5_low
р.Струмица,Габрово,61.099999999999994,top5_low
р.Струмица,Самоилово,57.75,top5_low
р.Струмица,Водоча,55.5,top5_low
р.Струмица,Вељуса,53.1,top5_low
р.Сува Гора,Жеровјане,81.33333333333333,top5_high
р.Сува Гора,Селце Кеч,78.0,top5_high
р.Сува Гора,Тетово,71.0,top5_high
р.Сува Гора,Једоарце,67.4,top5_high
р.Сува Гора,Отуње,66.65,top5_high
р.Сува Гора,Глоѓи,58.75,top5_low
р.Сува Гора,Одри,52.3,top5_low
р.Сува Гора,Брезно,46.0,top5_low
р.Сува Гора,Јелошник,44.2,top5_low
р.Сува Гора,Ново Село,42.333333333333336,top5_low
р.Тажево,Лупште,61.0,top5_high
р.Тажево,Долно Ботушје,52.425,top5_high
р.Тажево,Брест,47.775,top5_high
р.Тажево,Горно Ботушје *,31.5,top5_high
р.Тажево,Лупште,61.0,top5_low
р.Тажево,Долно Ботушје,52.425,top5_low
р.Тажево,Брест,47.775,top5_low
р.Тажево,Горно Ботушје *,31.5,top5_low
р.Тепавци,Црновец,61.333333333333336,top5_high
р.Тепавци,Кукуречани,57.6,top5_high
р.Тепавци,Битола,54.900000000000006,top5_high
р.Тепавци,Драгожани,54.2,top5_high
р.Тепавци,Граешница,48.25,top5_high
р.Тепавци,Габалавци *,44.166666666666664,top5_low
р.Тепавци,Драгош,40.75,top5_low
р.Тепавци,Секирани,38.5,top5_low
р.Тепавци,Драгарино,34.4,top5_low
р.Тепавци,Драгарино *,31.666666666666668,top5_low
р.Томорос,Крани,56.0,top5_high
р.Томорос,Долно Дупени,44.3,top5_high
р.Томорос,Љубојно,43.295,top5_high
р.Томорос,Наколец,41.0,top5_high
р.Томорос,Брајчино,31.71111111111111,top5_high
р.Томорос,Долно Дупени,44.3,top5_low
р.Томорос,Љубојно,43.295,top5_low
р.Томорос,Наколец,41.0,top5_low
р.Томорос,Брајчино,31.71111111111111,top5_low
р.Томорос,Ресен,30.0,top5_low
р.Трескавец,раскрсница за Новоселани,63.650000000000006,top5_high
р.Трескавец,Свето Тодори *,38.0,top5_high
р.Трескавец,Плетвар,28.95,top5_high
р.Трескавец,раскрсница за Новоселани,63.650000000000006,top5_low
р.Трескавец,Свето Тодори *,38.0,top5_low
р.Трескавец,Плетвар,28.95,top5_low
р.Удово,Удово,62.38333333333333,top5_high
р.Удово,Марвинци,44.25,top5_high
р.Удово,Удово,62.38333333333333,top5_low
р.Удово,Марвинци,44.25,top5_low
р.Удово / р.Пожар,Марвинци,47.275,top5_high
р.Удово / р.Пожар,Марвинци,47.275,top5_low
р.Фојник,Брест,67.625,top5_high
р.Фојник,Битово,61.5,top5_high
р.Фојник,Заград,60.0,top5_high
р.Фојник,Црешнево,57.080000000000005,top5_high
р.Фојник,Самоковнас.Ст.Воден.,53.9,top5_high
р.Фојник,Битово,61.5,top5_low
р.Фојник,Заград,60.0,top5_low
р.Фојник,Црешнево,57.080000000000005,top5_low
р.Фојник,Самоковнас.Ст.Воден.,53.9,top5_low
р.Фојник,Косово *,34.0,top5_low
р.Цоцон,Раштани,69.25,top5_high
р.Цоцон,Јудово,68.36666666666666,top5_high
р.Цоцон,Лисичани,65.85,top5_high
р.Цоцон,Кнежино,63.699999999999996,top5_high
р.Цоцон,Лавчани,59.11666666666667,top5_high
р.Цоцон,Свињиште,35.77777777777778,top5_low
р.Цоцон,Дворци,35.5,top5_low
р.Цоцон,Мало Илино,34.0,top5_low
р.Цоцон,Русјаци *,32.5,top5_low
р.Цоцон,Падалиште *,22.0,top5_low
р.Шпиље,Горенци,80.925,top5_high
р.Шпиље,Долно Мелничани,66.46666666666667,top5_high
р.Шпиље,Дебар,58.75,top5_high
р.Шпиље,Горенци,80.925,top5_low
р.Шпиље,Долно Мелничани,66.46666666666667,top5_low
р.Шпиље,Дебар,58.75,top5_low
р.Штип 1,Штип,68.325,top5_high
р.Штип 1,Штип,68.325,top5_low
